Model: ,Oscilloscope DSO-X 2002A
Serial Number:,MY54313423
Address: ,USB0::0x0957::0x179B::MY54313423::0::INSTR
Date: ,2016-04-04 17:39:07

Analog Sample Count:,1000,

Setup Text Information:,
ANALOG,,,TRIGGER,,,HORIZONTAL,,,ACQUISITION,,,
Ch 1,,,,,,,,,,,,
Scale,1 V/,,Sweep Mode,Auto,,Mode,MAIN,,Mode,NORM,,
Pos,0 V,,Coup,DC,,Ref,CENT,,Realtime,On,,
Coup,DC,,Noise Rej,Off,,Main Scale,1 ms/,,Vectors,On,,
BW,Off,,HF Rej,Off,,Main Delay,0 s,,Persistence,Off,,
Inv,Off,,Holdoff,40.0 ns,,,,,,,,
Imp,1M Ohm,,Mode,EDGE,,,,,,,,
Probe,1 : 1,,Source,Ch 1,,,,,,,,
Skew,0 s,,Slope,POS,,,,,,,,
,,,Level,-40 mV,,,,,,,,

Analog Channels,,,,
Sample Number,Time (s),1 (VOLT),,
146,-0.00355,0.723618216812611,,
147,-0.00354,0.763819228857756,,
148,-0.00353,0.763819228857756,,
149,-0.00352,0.763819228857756,,
150,-0.00351,0.763819228857756,,
151,-0.0035,0.804020240902901,,
152,-0.00349,0.804020240902901,,
153,-0.00348,0.763819228857756,,
154,-0.00347,0.804020240902901,,
155,-0.00346,0.804020240902901,,
156,-0.00345,0.804020240902901,,
157,-0.00344,0.804020240902901,,
158,-0.00343,0.804020240902901,,
159,-0.00342,0.844221252948046,,
160,-0.00341,0.804020240902901,,
161,-0.0034,0.844221252948046,,
162,-0.00339,0.844221252948046,,
163,-0.00338,0.844221252948046,,
164,-0.00337,0.844221252948046,,
165,-0.00336,0.844221252948046,,
166,-0.00335,0.844221252948046,,
167,-0.00334,0.844221252948046,,
168,-0.00333,0.844221252948046,,
169,-0.00332,0.884422264993191,,
170,-0.00331,0.884422264993191,,
171,-0.0033,0.884422264993191,,
172,-0.00329,0.884422264993191,,
173,-0.00328,0.884422264993191,,
174,-0.00327,0.884422264993191,,
175,-0.00326,0.884422264993191,,
176,-0.00325,0.884422264993191,,
177,-0.00324,0.884422264993191,,
178,-0.00323,0.884422264993191,,
179,-0.00322,0.924623277038336,,
180,-0.00321,0.884422264993191,,
181,-0.0032,0.884422264993191,,
182,-0.00319,0.884422264993191,,
183,-0.00318,0.844221252948046,,
184,-0.00317,0.804020240902901,,
185,-0.00316,0.723618216812611,,
186,-0.00315,0.643216192722321,,
187,-0.00314,0.603015180677176,,
188,-0.00313,0.522613156586885,,
189,-0.00312,0.48241214454174,,
190,-0.00311,0.442211132496595,,
191,-0.0031,0.361809108406305,,
192,-0.00309,0.32160809636116,,
193,-0.00308,0.281407084316015,,
194,-0.00307,0.24120607227087,,
195,-0.00306,0.201005060225725,,
196,-0.00305,0.16080404818058,,
197,-0.00304,0.120603036135435,,
198,-0.00303,0.0804020240902901,,
199,-0.00302,0.040201012045145,,
200,-0.00301,0,,
201,-0.003,-0.040201012045145,,
202,-0.00299,-0.0804020240902901,,
203,-0.00298,-0.120603036135435,,
204,-0.00297,-0.120603036135435,,
205,-0.00296,-0.16080404818058,,
206,-0.00295,-0.201005060225725,,
207,-0.00294,-0.24120607227087,,
208,-0.00293,-0.24120607227087,,
209,-0.00292,-0.281407084316015,,
210,-0.00291,-0.32160809636116,,
211,-0.0029,-0.32160809636116,,
212,-0.00289,-0.361809108406305,,
213,-0.00288,-0.40201012045145,,
214,-0.00287,-0.40201012045145,,
215,-0.00286,-0.40201012045145,,
216,-0.00285,-0.442211132496595,,
217,-0.00284,-0.48241214454174,,
218,-0.00283,-0.442211132496595,,
219,-0.00282,-0.522613156586885,,
220,-0.00281,-0.522613156586885,,
221,-0.0028,-0.522613156586885,,
222,-0.00279,-0.56281416863203,,
223,-0.00278,-0.56281416863203,,
224,-0.00277,-0.603015180677176,,
225,-0.00276,-0.603015180677176,,
226,-0.00275,-0.603015180677176,,
227,-0.00274,-0.643216192722321,,
228,-0.00273,-0.643216192722321,,
229,-0.00272,-0.643216192722321,,
230,-0.00271,-0.643216192722321,,
231,-0.0027,-0.683417204767466,,
232,-0.00269,-0.683417204767466,,
233,-0.00268,-0.683417204767466,,
234,-0.00267,-0.723618216812611,,
235,-0.00266,-0.763819228857756,,
236,-0.00265,-0.723618216812611,,
237,-0.00264,-0.723618216812611,,
238,-0.00263,-0.763819228857756,,
239,-0.00262,-0.763819228857756,,
240,-0.00261,-0.763819228857756,,
241,-0.0026,-0.763819228857756,,
242,-0.00259,-0.804020240902901,,
243,-0.00258,-0.804020240902901,,
244,-0.00257,-0.804020240902901,,
245,-0.00256,-0.804020240902901,,
246,-0.00255,-0.804020240902901,,
247,-0.00254,-0.804020240902901,,
248,-0.00253,-0.844221252948046,,
249,-0.00252,-0.844221252948046,,
250,-0.00251,-0.844221252948046,,
251,-0.0025,-0.844221252948046,,
252,-0.00249,-0.884422264993191,,
253,-0.00248,-0.844221252948046,,
254,-0.00247,-0.844221252948046,,
255,-0.00246,-0.884422264993191,,
256,-0.00245,-0.884422264993191,,
257,-0.00244,-0.884422264993191,,
258,-0.00243,-0.884422264993191,,
259,-0.00242,-0.884422264993191,,
260,-0.00241,-0.884422264993191,,
261,-0.0024,-0.884422264993191,,
262,-0.00239,-0.884422264993191,,
263,-0.00238,-0.924623277038336,,
264,-0.00237,-0.924623277038336,,
265,-0.00236,-0.924623277038336,,
266,-0.00235,-0.924623277038336,,
267,-0.00234,-0.924623277038336,,
268,-0.00233,-0.924623277038336,,
269,-0.00232,-0.924623277038336,,
270,-0.00231,-0.964824289083481,,
271,-0.0023,-0.924623277038336,,
272,-0.00229,-0.924623277038336,,
273,-0.00228,-0.964824289083481,,
274,-0.00227,-0.964824289083481,,
275,-0.00226,-0.924623277038336,,
276,-0.00225,-0.964824289083481,,
277,-0.00224,-0.964824289083481,,
278,-0.00223,-0.964824289083481,,
279,-0.00222,-0.964824289083481,,
280,-0.00221,-0.964824289083481,,
281,-0.0022,-0.964824289083481,,
282,-0.00219,-0.964824289083481,,
283,-0.00218,-0.924623277038336,,
284,-0.00217,-0.844221252948046,,
285,-0.00216,-0.763819228857756,,
286,-0.00215,-0.723618216812611,,
287,-0.00214,-0.683417204767466,,
288,-0.00213,-0.603015180677176,,
289,-0.00212,-0.56281416863203,,
290,-0.00211,-0.522613156586885,,
291,-0.0021,-0.442211132496595,,
292,-0.00209,-0.40201012045145,,
293,-0.00208,-0.361809108406305,,
294,-0.00207,-0.281407084316015,,
295,-0.00206,-0.281407084316015,,
296,-0.00205,-0.24120607227087,,
297,-0.00204,-0.201005060225725,,
298,-0.00203,-0.16080404818058,,
299,-0.00202,-0.120603036135435,,
300,-0.00201,-0.040201012045145,,
301,-0.002,-0.040201012045145,,
302,-0.00199,-0.040201012045145,,
303,-0.00198,0.040201012045145,,
304,-0.00197,0.0804020240902901,,
305,-0.00196,0.0804020240902901,,
306,-0.00195,0.120603036135435,,
307,-0.00194,0.16080404818058,,
308,-0.00193,0.16080404818058,,
309,-0.00192,0.201005060225725,,
310,-0.00191,0.24120607227087,,
311,-0.0019,0.281407084316015,,
312,-0.00189,0.281407084316015,,
313,-0.00188,0.32160809636116,,
314,-0.00187,0.32160809636116,,
315,-0.00186,0.361809108406305,,
316,-0.00185,0.361809108406305,,
317,-0.00184,0.40201012045145,,
318,-0.00183,0.40201012045145,,
319,-0.00182,0.442211132496595,,
