Model: ,Oscilloscope DSO-X 2002A
Serial Number:,MY54313423
Address: ,USB0::0x0957::0x179B::MY54313423::0::INSTR
Date: ,2016-04-04 18:17:43

Analog Sample Count:,1000,

Setup Text Information:,
ANALOG,,,TRIGGER,,,HORIZONTAL,,,ACQUISITION,,,
Ch 1,,,,,,,,,,,,
Scale,500 mV/,,Sweep Mode,Auto,,Mode,MAIN,,Mode,NORM,,
Pos,0 V,,Coup,DC,,Ref,CENT,,Realtime,On,,
Coup,DC,,Noise Rej,Off,,Main Scale,100 µs/,,Vectors,On,,
BW,Off,,HF Rej,Off,,Main Delay,0 s,,Persistence,Off,,
Inv,Off,,Holdoff,40.0 ns,,,,,,,,
Imp,1M Ohm,,Mode,EDGE,,,,,,,,
Probe,1 : 1,,Source,Ch 1,,,,,,,,
Skew,0 s,,Slope,POS,,,,,,,,
,,,Level,-20 mV,,,,,,,,

Analog Channels,,,,
Sample Number,Time (s),1 (VOLT),,
146,-0.000355,0.241206027567387,,
147,-0.000354,0.241206027567387,,
148,-0.000353,0.241206027567387,,
149,-0.000352,0.261306529864669,,
150,-0.000351,0.241206027567387,,
151,-0.00035,0.261306529864669,,
152,-0.000349,0.281407032161951,,
153,-0.000348,0.301507534459233,,
154,-0.000347,0.301507534459233,,
155,-0.000346,0.301507534459233,,
156,-0.000345,0.301507534459233,,
157,-0.000344,0.301507534459233,,
158,-0.000343,0.321608036756516,,
159,-0.000342,0.301507534459233,,
160,-0.000341,0.301507534459233,,
161,-0.00034,0.321608036756516,,
162,-0.000339,0.321608036756516,,
163,-0.000338,0.321608036756516,,
164,-0.000337,0.341708539053798,,
165,-0.000336,0.36180904135108,,
166,-0.000335,0.341708539053798,,
167,-0.000334,0.301507534459233,,
168,-0.000333,0.321608036756516,,
169,-0.000332,0.281407032161951,,
170,-0.000331,0.261306529864669,,
171,-0.00033,0.261306529864669,,
172,-0.000329,0.261306529864669,,
173,-0.000328,0.261306529864669,,
174,-0.000327,0.241206027567387,,
175,-0.000326,0.221105525270104,,
176,-0.000325,0.201005022972822,,
177,-0.000324,0.201005022972822,,
178,-0.000323,0.18090452067554,,
179,-0.000322,0.18090452067554,,
180,-0.000321,0.18090452067554,,
181,-0.00032,0.18090452067554,,
182,-0.000319,0.160804018378258,,
183,-0.000318,0.160804018378258,,
184,-0.000317,0.160804018378258,,
185,-0.000316,0.140703516080976,,
186,-0.000315,0.140703516080976,,
187,-0.000314,0.120603013783693,,
188,-0.000313,0.100502511486411,,
189,-0.000312,0.100502511486411,,
190,-0.000311,0.100502511486411,,
191,-0.00031,0.0804020091891289,,
192,-0.000309,0.0804020091891289,,
193,-0.000308,0.0804020091891289,,
194,-0.000307,0.0603015068918467,,
195,-0.000306,0.0603015068918467,,
196,-0.000305,0.0603015068918467,,
197,-0.000304,0.0402010045945644,,
198,-0.000303,0.0201005022972822,,
199,-0.000302,0.0201005022972822,,
200,-0.000301,0.0201005022972822,,
201,-0.0003,0.0201005022972822,,
202,-0.000299,0.0201005022972822,,
203,-0.000298,0.0201005022972822,,
204,-0.000297,0,,
205,-0.000296,0,,
206,-0.000295,-0.0201005022972822,,
207,-0.000294,-0.0402010045945644,,
208,-0.000293,-0.0402010045945644,,
209,-0.000292,-0.0402010045945644,,
210,-0.000291,-0.0603015068918467,,
211,-0.00029,-0.0603015068918467,,
212,-0.000289,-0.0402010045945644,,
213,-0.000288,-0.0804020091891289,,
214,-0.000287,-0.0804020091891289,,
215,-0.000286,-0.0603015068918467,,
216,-0.000285,-0.0804020091891289,,
217,-0.000284,-0.0804020091891289,,
218,-0.000283,-0.100502511486411,,
219,-0.000282,-0.120603013783693,,
220,-0.000281,-0.120603013783693,,
221,-0.00028,-0.120603013783693,,
222,-0.000279,-0.120603013783693,,
223,-0.000278,-0.140703516080976,,
224,-0.000277,-0.140703516080976,,
225,-0.000276,-0.160804018378258,,
226,-0.000275,-0.140703516080976,,
227,-0.000274,-0.160804018378258,,
228,-0.000273,-0.160804018378258,,
229,-0.000272,-0.18090452067554,,
230,-0.000271,-0.18090452067554,,
231,-0.00027,-0.201005022972822,,
232,-0.000269,-0.18090452067554,,
233,-0.000268,-0.201005022972822,,
234,-0.000267,-0.201005022972822,,
235,-0.000266,-0.201005022972822,,
236,-0.000265,-0.221105525270104,,
237,-0.000264,-0.221105525270104,,
238,-0.000263,-0.221105525270104,,
239,-0.000262,-0.241206027567387,,
240,-0.000261,-0.261306529864669,,
241,-0.00026,-0.241206027567387,,
242,-0.000259,-0.241206027567387,,
243,-0.000258,-0.261306529864669,,
