Model: ,Oscilloscope DSO-X 2002A
Serial Number:,MY54313423
Address: ,USB0::0x0957::0x179B::MY54313423::0::INSTR
Date: ,2016-04-04 18:15:43

Analog Sample Count:,1000,

Setup Text Information:,
ANALOG,,,TRIGGER,,,HORIZONTAL,,,ACQUISITION,,,
Ch 1,,,,,,,,,,,,
Scale,1 V/,,Sweep Mode,Auto,,Mode,MAIN,,Mode,NORM,,
Pos,0 V,,Coup,DC,,Ref,CENT,,Realtime,On,,
Coup,DC,,Noise Rej,Off,,Main Scale,1 ms/,,Vectors,On,,
BW,Off,,HF Rej,Off,,Main Delay,0 s,,Persistence,Off,,
Inv,Off,,Holdoff,40.0 ns,,,,,,,,
Imp,1M Ohm,,Mode,EDGE,,,,,,,,
Probe,1 : 1,,Source,Ch 1,,,,,,,,
Skew,0 s,,Slope,POS,,,,,,,,
,,,Level,-20 mV,,,,,,,,

Analog Channels,,,,
Sample Number,Time (s),1 (VOLT),,
1,-0.005,-1.04522631317377,,
2,-0.00499,-1.00502530112863,,
3,-0.00498,-1.04522631317377,,
4,-0.00497,-1.04522631317377,,
5,-0.00496,-1.04522631317377,,
6,-0.00495,-1.04522631317377,,
7,-0.00494,-1.04522631317377,,
8,-0.00493,-1.04522631317377,,
9,-0.00492,-1.04522631317377,,
10,-0.00491,-1.00502530112863,,
11,-0.0049,-1.04522631317377,,
12,-0.00489,-1.04522631317377,,
13,-0.00488,-1.00502530112863,,
14,-0.00487,-1.04522631317377,,
15,-0.00486,-1.00502530112863,,
16,-0.00485,-1.04522631317377,,
17,-0.00484,-1.04522631317377,,
18,-0.00483,-1.04522631317377,,
19,-0.00482,-1.04522631317377,,
20,-0.00481,-1.04522631317377,,
21,-0.0048,-1.04522631317377,,
22,-0.00479,-1.00502530112863,,
23,-0.00478,-1.08542732521892,,
24,-0.00477,-1.04522631317377,,
25,-0.00476,-1.04522631317377,,
26,-0.00475,-1.00502530112863,,
27,-0.00474,-1.00502530112863,,
28,-0.00473,-1.04522631317377,,
29,-0.00472,-1.04522631317377,,
30,-0.00471,-1.04522631317377,,
31,-0.0047,-1.04522631317377,,
32,-0.00469,-1.04522631317377,,
33,-0.00468,-1.04522631317377,,
34,-0.00467,-1.04522631317377,,
35,-0.00466,-1.04522631317377,,
