Model: ,Oscilloscope DSO-X 2002A
Serial Number:,MY54313423
Address: ,USB0::0x0957::0x179B::MY54313423::0::INSTR
Date: ,2016-04-04 17:53:15

Analog Sample Count:,1000,

Setup Text Information:,
ANALOG,,,TRIGGER,,,HORIZONTAL,,,ACQUISITION,,,
Ch 1,,,,,,,,,,,,
Scale,1 V/,,Sweep Mode,Auto,,Mode,MAIN,,Mode,NORM,,
Pos,0 V,,Coup,DC,,Ref,CENT,,Realtime,On,,
Coup,DC,,Noise Rej,Off,,Main Scale,10 µs/,,Vectors,On,,
BW,Off,,HF Rej,Off,,Main Delay,0 s,,Persistence,Off,,
Inv,Off,,Holdoff,40.0 ns,,,,,,,,
Imp,1M Ohm,,Mode,EDGE,,,,,,,,
Probe,1 : 1,,Source,Ch 1,,,,,,,,
Skew,0 s,,Slope,POS,,,,,,,,
,,,Level,-120 mV,,,,,,,,

Analog Channels,,,,
Sample Number,Time (s),1 (VOLT),,
1,-5E-05,-1.00502530112863,,
2,-4.99E-05,1.72864351794124,,
3,-4.98E-05,1.08542732521892,,
4,-4.97E-05,1.00502530112863,,
5,-4.96E-05,1.00502530112863,,
6,-4.95E-05,1.00502530112863,,
7,-4.94E-05,1.00502530112863,,
8,-4.93E-05,1.00502530112863,,
9,-4.92E-05,1.00502530112863,,
10,-4.91E-05,1.00502530112863,,
11,-4.9E-05,1.00502530112863,,
12,-4.89E-05,1.00502530112863,,
13,-4.88E-05,1.00502530112863,,
14,-4.87E-05,1.00502530112863,,
15,-4.86E-05,1.00502530112863,,
16,-4.85E-05,1.00502530112863,,
17,-4.84E-05,1.00502530112863,,
18,-4.83E-05,1.00502530112863,,
19,-4.82E-05,1.00502530112863,,
20,-4.81E-05,0.964824289083481,,
21,-4.8E-05,1.00502530112863,,
22,-4.79E-05,1.00502530112863,,
23,-4.78E-05,0.964824289083481,,
24,-4.77E-05,1.00502530112863,,
25,-4.76E-05,1.00502530112863,,
26,-4.75E-05,1.00502530112863,,
27,-4.74E-05,1.00502530112863,,
28,-4.73E-05,1.00502530112863,,
29,-4.72E-05,1.00502530112863,,
30,-4.71E-05,1.00502530112863,,
31,-4.7E-05,1.00502530112863,,
32,-4.69E-05,1.00502530112863,,
33,-4.68E-05,1.00502530112863,,
34,-4.67E-05,1.00502530112863,,
35,-4.66E-05,0.964824289083481,,
36,-4.65E-05,1.00502530112863,,
37,-4.64E-05,0.964824289083481,,
38,-4.63E-05,0.964824289083481,,
39,-4.62E-05,0.964824289083481,,
40,-4.61E-05,0.964824289083481,,
41,-4.6E-05,0.964824289083481,,
42,-4.59E-05,0.964824289083481,,
43,-4.58E-05,0.964824289083481,,
44,-4.57E-05,0.964824289083481,,
45,-4.56E-05,0.964824289083481,,
46,-4.55E-05,0.964824289083481,,
47,-4.54E-05,0.964824289083481,,
48,-4.53E-05,1.00502530112863,,
49,-4.52E-05,0.964824289083481,,
50,-4.51E-05,0.964824289083481,,
51,-4.5E-05,0.964824289083481,,
52,-4.49E-05,0.964824289083481,,
53,-4.48E-05,0.964824289083481,,
54,-4.47E-05,0.964824289083481,,
55,-4.46E-05,0.964824289083481,,
56,-4.45E-05,0.964824289083481,,
57,-4.44E-05,0.964824289083481,,
58,-4.43E-05,0.964824289083481,,
59,-4.42E-05,0.964824289083481,,
60,-4.41E-05,0.964824289083481,,
61,-4.4E-05,0.964824289083481,,
62,-4.39E-05,0.964824289083481,,
63,-4.38E-05,0.964824289083481,,
64,-4.37E-05,0.964824289083481,,
65,-4.36E-05,0.964824289083481,,
66,-4.35E-05,0.964824289083481,,
67,-4.34E-05,0.964824289083481,,
68,-4.33E-05,0.964824289083481,,
69,-4.32E-05,0.964824289083481,,
70,-4.31E-05,0.964824289083481,,
71,-4.3E-05,0.964824289083481,,
72,-4.29E-05,0.964824289083481,,
73,-4.28E-05,0.964824289083481,,
74,-4.27E-05,0.924623277038336,,
75,-4.26E-05,0.964824289083481,,
76,-4.25E-05,0.964824289083481,,
77,-4.24E-05,0.964824289083481,,
78,-4.23E-05,0.924623277038336,,
79,-4.22E-05,0.964824289083481,,
80,-4.21E-05,0.964824289083481,,
81,-4.2E-05,0.924623277038336,,
82,-4.19E-05,0.964824289083481,,
83,-4.18E-05,0.964824289083481,,
84,-4.17E-05,0.964824289083481,,
85,-4.16E-05,0.924623277038336,,
86,-4.15E-05,0.924623277038336,,
87,-4.14E-05,0.924623277038336,,
88,-4.13E-05,0.964824289083481,,
89,-4.12E-05,0.964824289083481,,
90,-4.11E-05,0.924623277038336,,
91,-4.1E-05,0.924623277038336,,
92,-4.09E-05,0.924623277038336,,
93,-4.08E-05,0.964824289083481,,
94,-4.07E-05,0.924623277038336,,
95,-4.06E-05,0.924623277038336,,
96,-4.05E-05,0.924623277038336,,
97,-4.04E-05,0.924623277038336,,
98,-4.03E-05,0.924623277038336,,
99,-4.02E-05,0.924623277038336,,
100,-4.01E-05,0.924623277038336,,
101,-4E-05,0.924623277038336,,
102,-3.99E-05,0.924623277038336,,
103,-3.98E-05,0.884422264993191,,
104,-3.97E-05,0.924623277038336,,
105,-3.96E-05,0.924623277038336,,
106,-3.95E-05,0.924623277038336,,
107,-3.94E-05,0.924623277038336,,
108,-3.93E-05,0.924623277038336,,
109,-3.92E-05,0.924623277038336,,
110,-3.91E-05,0.924623277038336,,
111,-3.9E-05,0.924623277038336,,
112,-3.89E-05,0.924623277038336,,
113,-3.88E-05,0.924623277038336,,
114,-3.87E-05,0.924623277038336,,
115,-3.86E-05,0.924623277038336,,
116,-3.85E-05,0.924623277038336,,
117,-3.84E-05,0.924623277038336,,
118,-3.83E-05,0.924623277038336,,
119,-3.82E-05,0.924623277038336,,
120,-3.81E-05,0.924623277038336,,
121,-3.8E-05,0.924623277038336,,
122,-3.79E-05,0.924623277038336,,
123,-3.78E-05,0.884422264993191,,
124,-3.77E-05,0.924623277038336,,
125,-3.76E-05,0.924623277038336,,
126,-3.75E-05,0.924623277038336,,
127,-3.74E-05,-1.80904554203153,,
128,-3.73E-05,-1.20603036135435,,
129,-3.72E-05,-1.08542732521892,,
130,-3.71E-05,-1.08542732521892,,
131,-3.7E-05,-1.08542732521892,,
132,-3.69E-05,-1.08542732521892,,
133,-3.68E-05,-1.08542732521892,,
134,-3.67E-05,-1.08542732521892,,
135,-3.66E-05,-1.08542732521892,,
136,-3.65E-05,-1.08542732521892,,
137,-3.64E-05,-1.08542732521892,,
138,-3.63E-05,-1.08542732521892,,
139,-3.62E-05,-1.08542732521892,,
140,-3.61E-05,-1.08542732521892,,
141,-3.6E-05,-1.08542732521892,,
142,-3.59E-05,-1.08542732521892,,
143,-3.58E-05,-1.08542732521892,,
144,-3.57E-05,-1.08542732521892,,
145,-3.56E-05,-1.08542732521892,,
146,-3.55E-05,-1.08542732521892,,
147,-3.54E-05,-1.08542732521892,,
148,-3.53E-05,-1.08542732521892,,
149,-3.52E-05,-1.08542732521892,,
150,-3.51E-05,-1.08542732521892,,
151,-3.5E-05,-1.04522631317377,,
152,-3.49E-05,-1.08542732521892,,
153,-3.48E-05,-1.08542732521892,,
154,-3.47E-05,-1.08542732521892,,
155,-3.46E-05,-1.08542732521892,,
